event_id,order_id,status,event_ts,sequence_no
E-1000,O-2001,paid,2026-02-01 09:00:00,1
E-1001,O-2002,created,2026-02-01 09:05:00,1
E-1002,O-2002,paid,2026-02-01 09:20:00,2
E-1003,O-2003,paid,2026-02-01 10:00:00,1
E-1003,O-2003,paid,2026-02-01 10:00:00,1
E-1005,O-2004,cancelled,2026-02-01 11:00:00,2
E-1004,O-2004,paid,2026-02-01 11:00:00,1
E-1006,O-2005,created,,1
E-1007,O-2005,paid,2026-02-01 12:00:00,2
E-1008,O-2006,created,,1
E-1009,O-2006,paid,,2
E-1010,O-2007,paid,2026-02-02 09:00:00,2
E-1011,O-2007,created,2026-02-02 08:30:00,1
E-1012,O-2008,refunded,2026-02-03 09:15:00,3
E-1013,O-2008,created,2026-02-03 08:00:00,1
E-1014,O-2008,paid,2026-02-03 08:30:00,2
