order_item_id,order_id,sku,quantity,unit_price
OI-01,O-1001,SKU-A,2,10.00
OI-02,O-1001,SKU-B,1,5.00
OI-03,O-1002,SKU-C,3,8.00
OI-04,O-1003,SKU-A,1,10.00
OI-05,O-1003,SKU-D,2,15.00
OI-06,O-1004,SKU-B,4,5.00
OI-07,O-1005,SKU-C,1,8.00
OI-08,O-1005,SKU-A,1,10.00
OI-09,O-1006,SKU-D,3,15.00
OI-10,O-1007,SKU-B,2,5.00
OI-11,O-1008,SKU-A,5,10.00
OI-12,O-1008,SKU-C,1,
OI-13,O-1009,SKU-A,2,10.00
OI-14,O-1009,SKU-B,1,5.00
OI-15,O-1010,SKU-D,1,15.00
OI-16,O-1010,SKU-A,1,10.00
OI-17,O-1011,SKU-C,4,8.00
OI-18,O-1012,SKU-B,6,5.00
OI-19,O-1012,SKU-D,1,15.00
OI-20,O-1099,SKU-A,1,10.00
