event_id,order_id,customer_id,status,order_ts,updated_at,order_version
1,O-1001,C-01,paid,2026-01-03 09:15:00,,1
2,O-1002,C-02,created,2026-01-03 10:02:00,,1
3,O-1002,C-02,paid,2026-01-03 10:02:00,2026-01-03 10:40:00,2
4,O-1003,C-03,paid,2026-01-04 08:00:00,,1
5,O-1004,C-04,created,2026-01-04 11:20:00,,1
6,O-1004,C-04,paid,2026-01-04 11:20:00,2026-01-04 12:05:00,2
7,O-1004,C-04,refunded,2026-01-04 11:20:00,2026-01-05 09:30:00,3
8,O-1005,,paid,2026-01-05 14:10:00,,1
9,O-1006,C-05,paid,2026-01-06 09:45:00,,1
10,O-1007,C-06,created,2026-01-06 16:30:00,,1
11,O-1007,C-06,cancelled,2026-01-06 16:30:00,2026-01-06 18:00:00,2
12,O-1008,C-07,paid,2026-01-07 10:00:00,,1
13,O-1009,C-08,paid,2026-01-07 13:22:00,2026-01-07 13:22:00,1
14,O-1009,C-08,paid,2026-01-07 13:22:00,2026-01-07 13:22:00,2
15,O-1010,C-09,paid,2026-01-08 09:00:00,,1
16,O-1011,C-10,created,2026-01-08 15:40:00,,1
17,O-1011,C-10,paid,2026-01-08 15:40:00,,2
18,O-1012,C-11,paid,2026-01-09 11:11:00,,1
